Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	18.428624391555786	1000	2000	-70.0079622950496	-74.00678852025368	121	2000
1	35.86361742019653	1000	3000	-70.0079622950496	-74.33293917494782	204	3000
2	53.30660653114319	1000	4000	-70.0079622950496	-73.7680394775987	287	4000
3	70.78092098236084	1000	5000	-68.48507492557637	-74.48910076618606	370	5000
4	88.34420728683472	1000	6000	-68.48507492557637	-73.95556678841707	453	6000
5	105.79019403457642	1000	7000	-68.48507492557637	-80.71959444166518	536	7000
6	123.22218751907349	1000	8000	-68.48507492557637	-74.2196915597816	619	8000
7	140.65118741989136	1000	9000	-68.48507492557637	-74.93254619882488	702	9000
8	158.08617877960205	1000	10000	-68.48507492557637	-74.16277956700131	785	10000
9	175.54913091659546	1000	11000	-68.48507492557637	-73.64482247139799	868	11000
10	192.99512887001038	1000	12000	-68.48507492557637	-74.10048281177252	951	12000
11	210.43610763549805	1000	13000	-68.48507492557637	-74.06304915176256	1034	13000
12	227.99750232696533	1000	14000	-68.48507492557637	-73.74126226574154	1117	14000
13	245.4867980480194	1000	15000	-68.48507492557637	-74.28874953822277	1200	15000
14	262.97476148605347	1000	16000	-68.48507492557637	-74.07098291474902	1283	16000
15	280.42874217033386	1000	17000	-68.48507492557637	-74.18791140955517	1366	17000
16	297.9067120552063	1000	18000	-68.48507492557637	-75.2115793282239	1449	18000
17	315.46563243865967	1000	19000	-68.48507492557637	-74.81632938153594	1532	19000
18	332.95760011672974	1000	20000	-68.48507492557637	-74.21428546283293	1615	20000
19	350.40660214424133	1000	21000	-68.48507492557637	-74.79205180173925	1698	21000
20	367.8425986766815	1000	22000	-68.48507492557637	-74.20490623928039	1781	22000
21	385.21862602233887	1000	23000	-68.48507492557637	-74.39465465804086	1864	23000
22	402.6166408061981	1000	24000	-68.48507492557637	-74.1998608852537	1947	24000
23	420.07473731040955	1000	25000	-68.48507492557637	-74.23250011859567	2030	25000
24	437.5138523578644	1000	26000	-68.48507492557637	-74.16426660002446	2113	26000
